Number;Youtube_link;Subject
1;https://www.youtube.com/watch?v=tOaMRG8DX3U;An AI Agent that knows everything about your Projects & Portfolios
2;https://www.youtube.com/watch?v=vteLoWpNw8Q;What Is Agentic AI and Why Should I Care?
3;https://www.youtube.com/watch?v=7WJ6lmxa1WQ;Agentic AI workflows for AIOps
4;https://www.youtube.com/watch?v=fqB-NcZmqXo;ServiceNow's agentic AI framework explained: What you need to know
5;https://www.youtube.com/watch?v=ZYJqkxGrNiI;AI and Business Agility: Enhancing Human Intelligence
6;https://www.youtube.com/watch?v=kQV6g8Vbbfc;Creating an agentic AI framework for observability
7;https://www.youtube.com/watch?v=ThW6lPyYgYk;Creating Multimedia Content at Scale with AI
8;https://www.youtube.com/watch?v=XUKTyE2YtHc&list=PLh-u-epknspBswAAKG0EfPHyV6gcVVOhK;Convert PDF into PowerPoint Presentations for FREE using AI
9;https://www.youtube.com/watch?v=K6z4c256gzI;Service offerings to help your organization achieve its business needs
10;https://www.youtube.com/watch?v=it1hcs5S1ks;Digital & AI transformation in the Public Sector
11;https://www.youtube.com/watch?v=x4ZvT7ZmxaI;Maximising the Minutes on AI: Agentic AI and the Next Wave of Business Transformation
12;https://www.youtube.com/watch?v=Rx65d0ofz8I;AI Search - ServiceNow {GenAI Inside Track} Now Assist for IT
13;https://www.youtube.com/watch?v=kQV6g8Vbbfc;Creating an agentic AI framework for observability
14;https://www.youtube.com/watch?v=it1hcs5S1ks&t=27s;Digital & AI transformation in the Public Sector
15;https://www.youtube.com/watch?v=j_PVU9hJTh8;Episode Eleven: Experian - Putting AI and automation to work 
16;https://www.youtube.com/watch?v=mSYdZW_D67o;Unlocking Service Operations with AI: Insights from Carey Blunt
17;https://www.youtube.com/watch?v=eFMeZto6yMg;SPM Academy: Now Assist and AI Agents for SPM
18;https://www.youtube.com/watch?v=KSWNDuKn9t0;IT Operations Management (ITOM): Predictive AIOps & Event Management
19;https://www.youtube.com/watch?v=WyQTP0AA1VU;AI-Powered Service Operations Part 2 - collaborate, deflect and resolve
20;https://www.youtube.com/watch?v=E6m8UuVhIzw;Build AI-Infused Custom Apps with Now Assist for App Engine
21;https://www.youtube.com/watch?v=_2IG1CX2y6g;Task Intelligence for ITSM
22;https://www.youtube.com/watch?v=a0fllfx_fmg&list=PLkGSnjw5y2U407_1UQQaVVrD13-MFi5ia&index=22;What's new in Washington DC for Document Intelligence (AI Academy)
