Number;Youtube Link;Subject
1;https://www.youtube.com/watch?v=-siFAl6R8Bg&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43;LLMs for Literature Review
2;https://www.youtube.com/watch?v=V6NkRGYr5uM&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=2;InsightBench: A Benchmark for Evaluating End-to-End Data Analytics Agents
3;https://www.youtube.com/watch?v=4qm7UPFMv64&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=3;BigCode: Open and responsible development of LLMs for code
4;https://www.youtube.com/watch?v=8BygQZs_vTU&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=4;LLMs can learn self-restraint through iterative self-reflection
5;https://www.youtube.com/watch?v=ES34R-iGGVc&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=5;A Small Slice of TACTiS
6;https://www.youtube.com/watch?v=ns4se8feXRU&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=6;Seeing AI as a Supply Chain: Implications for AI Trust, Transparency, Literacy, & Explainability
7;https://www.youtube.com/watch?v=8snZi_uOIqw&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=7;BigCode highlights reel
8;https://www.youtube.com/watch?v=KWBDq3YXXcU&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=8;WorkArena demo - Stickman drawing by AI Agent
9;https://www.youtube.com/watch?v=wOySUviLkDA&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=9;The Unsolved Challenges of LLMs in Open-Ended Web Tasks: A Case Study on the Future of Work
10;https://www.youtube.com/watch?v=6cYAXjSrsYk&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=10;Causal Discovery with Language Models as Imperfect Experts
11;https://www.youtube.com/watch?v=Mf2FOzDPxck&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=11;Lag-Llama: Towards Foundation Models for Probabilistic Time Series Forecasting
12;https://www.youtube.com/watch?v=xhrq3cBAQEc&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=12;PromptMix: A Class Boundary Augmentation Method for Large Language Model Distillation
13;https://www.youtube.com/watch?v=sQFWE__JAsA&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=13;"BigCode: ""StarCoder Model review"" webinar recording from 8 June 2023"
14;https://www.youtube.com/watch?v=Kh8yXfJJfU4&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=14;"BigCode: ""December 2022 Review"" webinar recording from 14 December 2022"
15;https://www.youtube.com/watch?v=8cUpsXIEbAo&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=15;"BigCode: ""Let's get started"" webinar from 6 October 2022"
16;https://www.youtube.com/watch?v=uWkEatgeYvc&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=16;"Montreal NLP Meetup - ""Azimuth: Systematic Error Analysis for Text Classification"""
17;https://www.youtube.com/watch?v=e-rqoHbAaMQ&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=17;EMNLP 2022 System Demo - Azimuth: Systematic Error Analysis for Text Classification
18;https://www.youtube.com/watch?v=qgzAD6pjvq4&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=18;RepLiQA: A robust benchmark for QA
19;https://www.youtube.com/watch?v=uc4kLnUPeUo&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=19;Reducing Hallucination in Structured Outputs via Retrieval-Augmented Generation
20;https://www.youtube.com/watch?v=jzsBkhVlb9A&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=20;Context Is Key: A Benchmark for Forecasting with Essential Textual Information
21;https://www.youtube.com/watch?v=aATsS11Ls0k&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=21;WorkArena++: Web agents for the world of work
22;https://www.youtube.com/watch?v=17R38H6YoX4&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=22;How AI is Transforming Organizations: Insights from ServiceNow, NVIDIA & Ankur Warikoo
23;https://www.youtube.com/watch?v=c-LdtBxRBC8&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=23;TapeAgents: A holistic framework for agent development and optimization
24;https://www.youtube.com/watch?v=Pp7EwkZTuv4&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=24;BigDocs: Open and Permissively-Licensed Dataset for Training Multimodal Models on Document and Code
25;https://www.youtube.com/watch?v=1fK3tU-K6aQ&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=25;ReTreever: Tree-based Document Organization for Retrieval
26;https://www.youtube.com/watch?v=7zp8d0do54M&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=26;Few-Shot Multimodal Multihop Data Synthesis with Knowledge Distillation for Question Answering
27;https://www.youtube.com/watch?v=tE00L48kigY&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=27;Certifiable Robustness Against Dynamic Data Poisoning Attacks
28;https://www.youtube.com/watch?v=0p7G3p30LF0&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=28;No, of course I can! Refusal Mechanisms Can Be Exploited Using Harmless Fine-Tuning Data
29;https://www.youtube.com/watch?v=JcXS4AKTfrQ&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=29;UI-Vision: Improving ‘Digital Agents’ Capable of Real Actions
30;https://www.youtube.com/watch?v=Go1uk37uuVA&list=PLtPPHGXv_JplnJj8rz6bHQTPvWrN0eq43&index=30;StarFlow: Generating Structured Workflow Outputs from Sketch Images
